Ordernummer;Status;EAN;bSKU;Artikelomschrijving;"Aantal
besteld";"Aantal
geleverd";"Aantal
geannuleerd";"Datum
besteld";"Datum
beloofde_levering";"Datum
verstuurd";"Verkoopprijs
item";"Verkoopprijs
order";Land;Annuleringsreden
4348132130;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/18/17;;9/18/17;€ 17,00;€ 17,00;BE;
4349042340;Verstuurd;3871141840872;2950002085544;Auto dashboard anti slip matje - Sticky pad | Voor telefoon, smartphone, sleutels etc. | Zwart;1;1;;9/18/17;;9/18/17;€ 13,50;€ 13,50;BE;
4348961010;Verstuurd;0642968249192;2950002428426;PopSockets - Get a Grip on your Phone. Nieuw, gepatenteerd en ultra verslavend! (Sound);1;1;;9/18/17;;9/19/17;€ 13,95;€ 13,95;NL;
4348983390;Verstuurd;8719172174649;2950002419172;Classic Lederen Armband voor FitBit Charge 2 û Bruin;1;1;;9/18/17;;9/18/17;€ 24,65;€ 24,65;NL;
4349002000;Verstuurd;0639738501079;2950002327712;3D MineCraft Plak-Poster;1;1;;9/18/17;;9/18/17;€ 20,00;€ 20,00;NL;
4349007980;Verstuurd;8719075180457;2950002327682;Verloopfitting E14 naar E27;1;1;;9/18/17;;9/18/17;€ 8,50;€ 8,50;NL;
4349016730;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/18/17;;9/18/17;€ 9,65;€ 9,65;BE;
4349024540;Bestelling wordt verwerkt;0634154990094;2950002108373;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Zwart;1;;;9/18/17;;;€ 29,65;€ 29,65;BE;
4348949280;Verstuurd;8719244391387;2950002149208;Fitbit Charge HR oplaad kabel zwart;1;1;;9/18/17;;9/19/17;€ 9,49;€ 9,49;NL;
4349035020;Verstuurd;0728987019968;2950001650934;United Entertainment Mister Tea Infuser - Theezeef;1;1;;9/18/17;;9/19/17;€ 8,60;€ 8,60;NL;
4349027490;Verstuurd;3437802012578;2950002394066;Camera hand strap - grip - camera stabilisator - digitale camera - universele hand strap voor oa DSLR / Nikon / Canon / Sony - DisQounts;1;1;;9/18/17;;9/19/17;€ 12,90;€ 12,90;NL;
4349048740;Bestelling wordt verwerkt;8718546656101;2950002398101;Gordelbeschermer - Gordelbeschermhoes - Gordelhoes - Set 2 stuks;1;;;9/18/17;9/20/17;;€ 7,90;€ 7,90;NL;
4349052270;Verstuurd;7101123330821;2950002394165;Universele afstandsbediening controller voor Samsung | HDTV's | LED | SMART TV;1;1;;9/18/17;;9/19/17;€ 14,65;€ 14,65;NL;
4349072780;Verstuurd;8718637921743;2950002070380;Digitale Alcohol Tester;1;1;;9/18/17;;9/18/17;€ 22,95;€ 22,95;NL;
4349081630;Verstuurd;8719172173789;2950001950003;FitBit Charge 2 Milanees Bandje Set | Milanese Stainless Steel FitBit Bands Black & Silver;1;1;;9/18/17;;9/18/17;€ 28,65;€ 28,65;BE;
4349086570;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;1;;9/18/17;;9/19/17;€ 16,25;€ 16,25;NL;
4348761760;Verstuurd;8718836383120;2950002094829;"""Qatrixx CrystalGuard Keyboard Cover Protector Toetsenbord bescherming Macbook Air, Pro Black Zwart""";1;1;;9/18/17;;9/18/17;€ 7,50;€ 7,50;NL;
4348348970;Verstuurd;0612070222697;2950002131036;Paspoorthoes - 3D Wereldkaart Design - Kunstlederen Paspoorthouder - Waterproof Paspoortmapje - Paspoort Hoesje û Roze;1;1;;9/18/17;;9/18/17;€ 10,95;€ 10,95;NL;
4349031970;Verstuurd;2000004841973;2950002220273;Magneetbril;1;1;;9/18/17;;9/19/17;€ 19,95;€ 19,95;NL;
4348787430;Verstuurd;7296667823332;2950002397951;10 Microvezel Brillendoekjes;1;1;;9/18/17;;9/18/17;€ 9,95;€ 9,95;BE;
4348762210;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/18/17;;9/18/17;€ 9,65;€ 9,65;NL;
4349034120;Bestelling wordt verwerkt;7091133265674;2950002394172;Geborsteld staal Flesopener muur / Wandflesopener / Flesopener /;1;;;9/18/17;9/20/17;;€ 12,85;€ 12,85;NL;
4348783090;Verstuurd;7434009183199;2950002428440;Popsocket Popsockets Style Buttonhouder The Sound;1;1;;9/18/17;;9/18/17;€ 13,95;€ 13,95;BE;
4348934590;Verstuurd;0634154990070;2950002108045;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat L - Rose Goud;1;1;;9/18/17;;9/18/17;€ 35,50;€ 35,50;NL;
4348793910;Bestelling wordt verwerkt;0635131933769;2950002334642;USA naar Europa (EU) Adapter verloop stekker;1;;;9/18/17;;;€ 6,95;€ 6,95;NL;
4348810180;Verstuurd;7091134876404;2950002394189;Bieropener Sleutelhanger - Flesopener Aluminium;1;1;;9/18/17;;9/18/17;€ 6,50;€ 6,50;NL;
4348810520;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/18/17;;9/18/17;€ 9,65;€ 9,65;BE;
4348823600;Verstuurd;8719322233639;2950001530687;Stoer kinderhorloge met leger/camouflage print - grijs;1;1;;9/18/17;;9/18/17;€ 15,95;€ 15,95;BE;
4348837240;Verstuurd;7296667824322;2950002398125;Honx Quartz - Bruin;1;1;;9/18/17;;9/18/17;€ 9,95;€ 9,95;NL;
4348845070;Verstuurd;0635131890819;2950001455188;Anti Snurk Beugel - Snurkbeugel - Anti Snurken - Stop met snurken - Geen gesnurk;1;1;;9/18/17;;9/18/17;€ 14,50;€ 14,50;NL;
4348898680;Verstuurd;0635131933769;2950002334642;USA naar Europa (EU) Adapter verloop stekker;1;1;;9/18/17;;9/19/17;€ 6,95;€ 6,95;NL;
4348928420;Verstuurd;8719325021998;2950002351953;Zaklamp - 3800 Lumen - XML T6 - led zaklamp - inclusief zoomfunctie û waterproof û professioneel - zwart;1;1;;9/18/17;;9/18/17;€ 19,50;€ 19,50;NL;
4348913790;Verstuurd;0741342149612;2950002327293;Zakhorloge horloge uil;1;1;;9/18/17;;9/18/17;€ 10,70;€ 10,70;NL;
4348872430;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/18/17;;9/18/17;€ 9,65;€ 9,65;BE;
4348868550;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/18/17;;9/18/17;€ 17,00;€ 17,00;BE;
4348855250;Verstuurd;8718627928745;2950002075392;18650 Batterij & oplader;1;1;;9/18/17;;9/18/17;€ 17,95;€ 17,95;BE;
4348852110;Bestelling wordt verwerkt;7433640144149;2950002394226;Universele asbak voor in de auto - Asbak met LED - Auto asbak bekerhouder;1;;;9/18/17;9/20/17;;€ 15,45;€ 15,45;NL;
4347399970;Verstuurd;0815373022012;2950002213800;PopSockets: Anchor Ocean;1;1;;9/17/17;;9/17/17;€ 16,50;€ 16,50;BE;
4347506530;Bestelling wordt verwerkt;8718722352728;2950001614677;Controller voor de Nintendo Mini Classic NES in het grijs (2016 model);1;;;9/17/17;9/22/17;;€ 13,95;€ 13,95;NL;
4347399970;Verstuurd;7430437189161;2950002428310;Donuts white;1;1;;9/17/17;;9/17/17;€ 15,50;€ 15,50;BE;
4347444310;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;1;;9/17/17;;9/17/17;€ 16,25;€ 16,25;NL;
4347404280;Verstuurd;8702131255312;2950002220037;LGBT - Gay - Regenboog vlag - 90x150cm;2;2;;9/17/17;;9/17/17;€ 9,69;€ 19,38;BE;
4347407620;Verstuurd;8719322391049;2950002128487;1080P Full HD - Wii Naar HDMI Adapter / Converter / Kabel / Omvormer;1;1;;9/17/17;9/19/17;9/18/17;€ 13,70;€ 13,70;NL;
4347426670;Verstuurd;0614458963581;2950002393915;View Case Hoesje voor Huawei P8 Lite û Goud;1;1;;9/17/17;9/19/17;9/18/17;€ 13,95;€ 13,95;NL;
4347440440;Verstuurd;8702131255312;2950002220037;LGBT - Gay - Regenboog vlag - 90x150cm;1;1;;9/17/17;;9/17/17;€ 9,69;€ 9,69;BE;
4347443410;Verstuurd;8719295800074;2950002428327;Anker Popsockets;1;1;;9/17/17;;9/17/17;€ 9,95;€ 9,95;NL;
4347403990;Verstuurd;0815373021329;2950002428211;Popsockets Pakwan Sunset Ocean;1;1;;9/17/17;;9/17/17;€ 18,95;€ 18,95;BE;
4347457030;Verstuurd;8719322391049;2950002128487;1080P Full HD - Wii Naar HDMI Adapter / Converter / Kabel / Omvormer;1;1;;9/17/17;;9/17/17;€ 13,70;€ 13,70;NL;
4347479790;Verstuurd;7433640144125;2950002394233;11 inch Sleeve - Cover - Case - Beschermhoes voor MacBook, Laptop, Ultrabook;1;1;;9/17/17;;9/17/17;€ 14,25;€ 14,25;NL;
4347540920;Verstuurd;0639738501079;2950002327712;3D MineCraft Plak-Poster;1;1;;9/17/17;;9/17/17;€ 20,00;€ 20,00;NL;
4347487500;Verstuurd;8719172173789;2950001950003;FitBit Charge 2 Milanees Bandje Set | Milanese Stainless Steel FitBit Bands Black & Silver;1;1;;9/17/17;9/19/17;9/18/17;€ 28,65;€ 28,65;NL;
4347378220;Verstuurd;7433640144149;2950002394226;Universele asbak voor in de auto - Asbak met LED - Auto asbak bekerhouder;1;1;;9/17/17;;9/17/17;€ 15,45;€ 15,45;NL;
4347507260;Verstuurd;8718722352728;2950001614677;Controller voor de Nintendo Mini Classic NES in het grijs (2016 model);1;1;;9/17/17;;9/17/17;€ 13,95;€ 13,95;NL;
4347519250;Verstuurd;0000003375457;2950001572564;Blauwe Paspoort Protector - Beschermhoes - Paspoorthouder - Cover - Mapje;1;1;;9/17/17;;9/17/17;€ 10,20;€ 10,20;NL;
4347560740;Verstuurd;7091133644462;2950002331030;Rasterbril | Gaatjesbril voor oogtraining - Pinhole glasses (Zwart) - fijn raster;1;1;;9/17/17;;9/17/17;€ 14,50;€ 14,50;BE;
4347550150;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;9/19/17;9/18/17;€ 9,65;€ 9,65;NL;
4347213950;Verstuurd;8718546656101;2950002398101;Gordelbeschermer - Gordelbeschermhoes - Gordelhoes - Set 2 stuks;1;1;;9/17/17;;9/17/17;€ 8,20;€ 8,20;BE;
4347487490;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;1;;9/17/17;9/18/17;9/17/17;€ 16,25;€ 16,25;NL;
4347325020;Verstuurd;0815373022043;2950002084813;PopSockets: Palm Trees;1;1;;9/17/17;;9/17/17;€ 18,50;€ 18,50;BE;
4347844950;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;;9/17/17;€ 9,65;€ 9,65;BE;
4347561440;Verstuurd;8719324505000;2950001772834;Slaapmasker 3D Oogmasker Voor Heerlijk Slapen Thuis of op Reis. Slaapmasker 3D voor vrije beweging van ogen.;1;1;;9/17/17;;9/17/17;€ 7,50;€ 7,50;NL;
4347195130;Verstuurd;7081319762875;2950002199135;Cree XML T6 - High Power Led lamp - 2000 Lumen;2;2;;9/17/17;9/18/17;9/17/17;€ 23,70;€ 47,40;NL;
4347243110;Verstuurd;7091139847782;2950002393434;PS4 dualshock Controller PlayStation sticker skin | Stickerbom;1;1;;9/17/17;;9/17/17;€ 9,95;€ 9,95;NL;
4347253570;Verstuurd;8718637966430;2950002070397;Mini MP3 Speler [zwart] + Oortjes + Opberg tas;1;1;;9/17/17;;9/17/17;€ 14,95;€ 14,95;BE;
4347290060;Verstuurd;8719322393210;2950001572533;3D Slaapmasker;1;1;;9/17/17;;9/17/17;€ 7,70;€ 7,70;NL;
4347291990;Verstuurd;8713077323751;2950002330767;LCD Screenprotector + Lens Screenprotector voor GoPro Hero 5;1;1;;9/17/17;;9/17/17;€ 7,79;€ 7,79;NL;
4347299000;Verstuurd;8719172173789;2950001950003;FitBit Charge 2 Milanees Bandje Set | Milanese Stainless Steel FitBit Bands Black & Silver;1;1;;9/17/17;;9/17/17;€ 28,65;€ 28,65;BE;
4347248510;Verstuurd;8719128675510;2950001455140;DSLR / Nikon / Canon / Sony Vintage Nek Strap Band Polka Dots Zwart;1;1;;9/17/17;;9/18/17;€ 19,40;€ 19,40;NL;
4347308510;Verstuurd;5987625773210;2950002351564;Nintendo Classic Mini NES controller;1;1;;9/17/17;;9/17/17;€ 19,50;€ 19,50;NL;
4347374640;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/17/17;;9/17/17;€ 17,00;€ 17,00;BE;
4347326180;Verstuurd;8719177819613;2950001881932;Button in de PopSocket style - Inclusief ophang clip - Voor Telefoon/tablet - Peace Mandala Tiffany;1;1;;9/17/17;;9/17/17;€ 9,69;€ 9,69;NL;
4347327770;Verstuurd;0634154990568;2950002107642;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Zilver;1;1;;9/17/17;;9/17/17;€ 27,65;€ 27,65;NL;
4347327770;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/17/17;;9/17/17;€ 17,00;€ 17,00;NL;
4347337480;Verstuurd;0634154990117;2950002419202;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Rose Goud;1;1;;9/17/17;;9/18/17;€ 27,45;€ 27,45;NL;
4347354980;Bestelling wordt verwerkt;0815373023231;2950002213725;PopSockets Marble Chic;1;;;9/17/17;9/22/17;;€ 9,65;€ 9,65;NL;
4347368360;Verstuurd;5060122241731;2950002221799;FEG Wimperserum - Eyelash Enhancer;1;1;;9/17/17;9/19/17;9/18/17;€ 11,00;€ 11,00;NL;
4347371510;Verstuurd;7434009183199;2950002428440;Popsocket Popsockets Style Buttonhouder The Sound;1;1;;9/17/17;9/19/17;9/18/17;€ 13,95;€ 13,95;NL;
4347371980;Verstuurd;8719324505000;2950001772834;Slaapmasker 3D Oogmasker Voor Heerlijk Slapen Thuis of op Reis. Slaapmasker 3D voor vrije beweging van ogen.;1;1;;9/17/17;9/19/17;9/18/17;€ 7,50;€ 7,50;NL;
4347373620;Verstuurd;8719322391049;2950002128487;1080P Full HD - Wii Naar HDMI Adapter / Converter / Kabel / Omvormer;1;1;;9/17/17;;9/17/17;€ 13,70;€ 13,70;NL;
4347305990;Verstuurd;0634154990117;2950002419202;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Rose Goud;1;1;;9/17/17;;9/17/17;€ 27,45;€ 27,45;NL;
4347564100;Verstuurd;7107102614609;2950001949991;Milanees bandje RosΘgoud geschikt voor Fitbit Charge 2;1;1;;9/17/17;;9/17/17;€ 21,69;€ 21,69;BE;
4347853140;Verstuurd;0642968191330;2950001881888;Muursticker Wereldkaart Dieren Full Color - Kinderkamer - 95 x 73 cm - Mooiaandemuur;1;1;;9/17/17;;9/17/17;€ 19,65;€ 19,65;NL;
4347865180;Verstuurd;7091179286893;2950002394141;Patatsnijder | Frietsnijder | Groentesnijder | Keuken gadgets | Keukentool;1;1;;9/17/17;;9/17/17;€ 7,65;€ 7,65;NL;
4347871840;Verstuurd;7091177907196;2950002340643;Messenslijper JY&K | doortrekslijper | messenslijpers | mes | slijper | Gadget |;1;1;;9/17/17;9/19/17;9/18/17;€ 11,65;€ 11,65;NL;
4347872540;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;;9/17/17;€ 9,65;€ 9,65;NL;
4347886960;Verstuurd;8718627923917;2950002331092;LED lamp USB flexibel voor Laptop & PC;1;1;;9/17/17;;9/17/17;€ 12,95;€ 12,95;BE;
4347893590;Verstuurd;7430437189161;2950002428310;Donuts white;1;1;;9/17/17;;9/18/17;€ 15,50;€ 15,50;NL;
4347897990;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;1;;9/17/17;9/19/17;9/18/17;€ 16,25;€ 16,25;NL;
4347902360;Verstuurd;0815373022043;2950002084813;PopSockets: Palm Trees;1;1;;9/17/17;;9/18/17;€ 18,50;€ 18,50;BE;
4347851440;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;;9/17/17;€ 9,65;€ 9,65;BE;
4347926130;Verstuurd;0634154990094;2950002108373;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Zwart;1;1;;9/17/17;;9/17/17;€ 29,65;€ 29,65;BE;
4347926140;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/17/17;;9/17/17;€ 17,00;€ 17,00;NL;
4347935430;Verstuurd;8702131255312;2950002220037;LGBT - Gay - Regenboog vlag - 90x150cm;1;1;;9/17/17;;9/17/17;€ 9,69;€ 9,69;NL;
4347796410;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;;9/17/17;€ 9,65;€ 9,65;BE;
4347957730;Verstuurd;0631912162083;2950002419639;FitBit Charge 2 Milanees Bandje Zilver - Milanese Stainless Steel FitBit Band Silver;1;1;;9/17/17;;9/17/17;€ 18,20;€ 18,20;BE;
4347961440;Verstuurd;8719172174649;2950002419172;Classic Lederen Armband voor FitBit Charge 2 û Bruin;1;1;;9/17/17;;9/18/17;€ 24,65;€ 24,65;NL;
4347978300;Verstuurd;3437802014589;2950002340117;Dameshorloge - stijlvol dames horloge - horloges - wit - Quartz - DisQounts;1;1;;9/17/17;9/18/17;9/18/17;€ 12,75;€ 12,75;NL;
4347978300;Verstuurd;3437802014602;2950002340100;Dameshorloge - stijlvol dames horloge - horloges - rosΘgoud - Quartz - DisQounts;1;1;;9/17/17;9/18/17;9/18/17;€ 12,75;€ 12,75;NL;
4348005390;Verstuurd;0634154990568;2950002107642;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Zilver;1;1;;9/17/17;;9/18/17;€ 27,65;€ 27,65;NL;
4348006850;Bestelling wordt verwerkt;8719497096671;2950002393946;Camera Draadontspanner Afstandsbediening Shutter - Voor Canon EOS 1000D / 60D / 1100D / Pentax;1;;;9/17/17;9/20/17;;€ 17,85;€ 17,85;NL;
4347920900;Verstuurd;8719322393210;2950001572533;3D Slaapmasker;1;1;;9/17/17;;9/17/17;€ 7,70;€ 7,70;NL;
4347604110;Verstuurd;8719322233844;2950001717477;Dr. White Professionele Tandenbleekstrips - Express 7 Dagen Tanden Bleken Behandeling - 14 Sachets;1;1;;9/17/17;;9/17/17;€ 23,95;€ 23,95;BE;
4347955930;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;;9/18/17;€ 9,65;€ 9,65;BE;
4347838260;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;9/19/17;9/18/17;€ 9,65;€ 9,65;NL;
4347564290;Bestelling wordt verwerkt;0815373022043;2950002084813;PopSockets: Palm Trees;1;;;9/17/17;9/20/17;;€ 18,50;€ 18,50;NL;
4347583010;Verstuurd;0713382382052;2950002128326;iPhone 6 / 6S (4,7) TPU Transparant  back case cover Cover Met Bumper Champagne Goud;1;1;;9/17/17;;9/17/17;€ 10,19;€ 10,19;BE;
4347599240;Verstuurd;7107109298352;2950002419127;Bandje Leather - Zwart geschikt voor Fitbit Charge 2;1;1;;9/17/17;9/18/17;9/17/17;€ 32,15;€ 32,15;NL;
4347599730;Geannuleerd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;;1;9/17/17;;;€ 17,00;€ 17,00;NL;Geannuleerd door de klant
4347608800;Verstuurd;8718868738165;2950002131050;Paspoort hoesje / houder / etui, wereldkaart dessin;1;1;;9/17/17;9/18/17;9/17/17;€ 11,65;€ 11,65;NL;
4347613980;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;1;;9/17/17;9/19/17;9/18/17;€ 16,25;€ 16,25;NL;
4347619560;Verstuurd;8718722352728;2950001614677;Controller voor de Nintendo Mini Classic NES in het grijs (2016 model);1;1;;9/17/17;9/19/17;9/18/17;€ 13,95;€ 13,95;NL;
4347629080;Bestelling wordt verwerkt;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;1;;;9/17/17;9/23/17;;€ 16,25;€ 16,25;NL;
4347713500;Verstuurd;7107109298352;2950002419127;Fitbit Charge 2 Bandje Leather - Zwart;1;1;;9/17/17;9/19/17;9/18/17;€ 32,15;€ 32,15;BE;
4347599240;Verstuurd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;1;;9/17/17;9/18/17;9/17/17;€ 17,00;€ 17,00;NL;
4347639000;Verstuurd;8719322677532;2950002394370;Shock Proof Hard Case met TPU Soft Frame  hoesje voor Iphone 5/5S/SE- Transparant Doorzichtig;1;1;;9/17/17;;9/17/17;€ 9,10;€ 9,10;NL;
4347733510;Bestelling wordt verwerkt;8719244391387;2950002149208;Fitbit Charge HR oplaad kabel zwart;1;;;9/17/17;;;€ 9,49;€ 9,49;NL;
4347728990;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/17/17;9/19/17;9/18/17;€ 9,65;€ 9,65;BE;
4347664350;Verstuurd;7081456526132;2950002393908;USB 2.0 Naar Ethernet Adapter (RJ45) - 10/100Mbps;1;1;;9/17/17;;9/17/17;€ 14,95;€ 14,95;NL;
